date_id,date,year,month,quarter,day,day_name,month_name,is_weekday
1,2022-01-03,2022,1,1,3,Monday,January,1
2,2022-01-04,2022,1,1,4,Tuesday,January,1
3,2022-01-05,2022,1,1,5,Wednesday,January,1
4,2022-01-06,2022,1,1,6,Thursday,January,1
5,2022-01-07,2022,1,1,7,Friday,January,1
6,2022-01-08,2022,1,1,8,Saturday,January,0
7,2022-01-09,2022,1,1,9,Sunday,January,0
8,2022-01-10,2022,1,1,10,Monday,January,1
9,2022-01-11,2022,1,1,11,Tuesday,January,1
10,2022-01-12,2022,1,1,12,Wednesday,January,1
11,2022-01-13,2022,1,1,13,Thursday,January,1
12,2022-01-14,2022,1,1,14,Friday,January,1
13,2022-01-15,2022,1,1,15,Saturday,January,0
14,2022-01-16,2022,1,1,16,Sunday,January,0
15,2022-01-17,2022,1,1,17,Monday,January,1
16,2022-01-18,2022,1,1,18,Tuesday,January,1
17,2022-01-19,2022,1,1,19,Wednesday,January,1
18,2022-01-20,2022,1,1,20,Thursday,January,1
19,2022-01-21,2022,1,1,21,Friday,January,1
20,2022-01-22,2022,1,1,22,Saturday,January,0
21,2022-01-23,2022,1,1,23,Sunday,January,0
22,2022-01-24,2022,1,1,24,Monday,January,1
23,2022-01-25,2022,1,1,25,Tuesday,January,1
24,2022-01-26,2022,1,1,26,Wednesday,January,1
25,2022-01-27,2022,1,1,27,Thursday,January,1
26,2022-01-28,2022,1,1,28,Friday,January,1
27,2022-01-29,2022,1,1,29,Saturday,January,0
28,2022-01-30,2022,1,1,30,Sunday,January,0
29,2022-01-31,2022,1,1,31,Monday,January,1
30,2022-02-01,2022,2,1,1,Tuesday,February,1
31,2022-02-02,2022,2,1,2,Wednesday,February,1
32,2022-02-03,2022,2,1,3,Thursday,February,1
33,2022-02-04,2022,2,1,4,Friday,February,1
34,2022-02-05,2022,2,1,5,Saturday,February,0
35,2022-02-06,2022,2,1,6,Sunday,February,0
36,2022-02-07,2022,2,1,7,Monday,February,1
37,2022-02-08,2022,2,1,8,Tuesday,February,1
38,2022-02-09,2022,2,1,9,Wednesday,February,1
39,2022-02-10,2022,2,1,10,Thursday,February,1
40,2022-02-11,2022,2,1,11,Friday,February,1
41,2022-02-12,2022,2,1,12,Saturday,February,0
42,2022-02-13,2022,2,1,13,Sunday,February,0
43,2022-02-14,2022,2,1,14,Monday,February,1
44,2022-02-15,2022,2,1,15,Tuesday,February,1
45,2022-02-16,2022,2,1,16,Wednesday,February,1
46,2022-02-17,2022,2,1,17,Thursday,February,1
47,2022-02-18,2022,2,1,18,Friday,February,1
48,2022-02-19,2022,2,1,19,Saturday,February,0
49,2022-02-20,2022,2,1,20,Sunday,February,0
50,2022-02-21,2022,2,1,21,Monday,February,1
51,2022-02-22,2022,2,1,22,Tuesday,February,1
52,2022-02-23,2022,2,1,23,Wednesday,February,1
