amfi_code,scheme_name,fund_house,category,plan,expense_ratio_pct,return_3yr_pct,sharpe_ratio,alpha,max_drawdown_pct,aum_crore,morningstar_rating,rank_return_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,composite_score,overall_rank
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.45,15.65,0.98,1.85,-19.5,35012.0,5,75.0,72.5,93.75,44.99999999999999,52.5,71.38,1
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,1.43,23.39,0.94,1.23,-13.35,19259.0,5,100.0,57.49999999999999,52.5,47.5,82.5,70.25,2
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,0.74,7.68,7.68,1.85,-2.62,39116.0,5,15.0,100.0,93.75,82.5,95.0,70.12,3
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,0.56,7.37,1.84,1.98,-6.01,27953.0,3,12.5,92.5,100.0,95.0,87.5,69.88,4
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,1.56,18.23,0.96,1.91,-21.92,47469.0,4,85.0,65.0,97.5,17.500000000000004,40.0,67.88,5
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,0.72,23.14,0.93,1.13,-24.78,36061.0,4,97.5,53.75,46.25,86.25,27.500000000000004,67.62,6
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,1.46,14.81,1.06,1.62,-17.07,11361.0,5,60.0,83.75,72.5,42.50000000000001,65.0,66.31,7
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,1.53,22.38,0.9,1.84,-23.61,41613.0,5,95.0,41.25,90.0,28.749999999999996,35.0,64.62,8
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,0.6,6.18,6.18,1.52,-3.81,27623.0,3,10.0,97.5,67.5,92.5,90.0,63.75,9
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,1.64,15.34,0.96,1.79,-12.14,17912.0,5,70.0,65.0,82.5,1.2499999999999956,85.0,62.44,10
