amfi_code,scheme_name,fund_house,category,plan,top_sector,top_sector_weight_pct,hhi_score,is_concentrated
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,IT,48.69,2967.69,True
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,Banking,39.82,2549.92,True
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,Banking,41.2,2531.55,True
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,Pharma,39.04,2513.83,True
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,Pharma,41.34,2410.77,False
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,Pharma,40.75,2386.95,False
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,IT,39.35,2374.97,False
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,Banking,34.08,2323.61,False
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,Banking,30.4,2314.64,False
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,Banking,35.97,2276.47,False
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,Automobile,32.48,2275.08,False
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,Pharma,35.07,2227.27,False
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,Banking,35.61,2212.13,False
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,Banking,34.18,2212.0,False
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,Banking,33.8,2180.86,False
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,Pharma,27.46,2158.93,False
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,Telecom,30.44,2072.59,False
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,Banking,30.78,2012.48,False
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,Pharma,32.52,1887.01,False
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,IT,31.84,1880.85,False
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,IT,26.67,1842.33,False
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,Banking,28.64,1826.95,False
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,FMCG,30.67,1821.68,False
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,Utilities,28.95,1807.12,False
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,IT,25.9,1805.88,False
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,Banking,25.09,1800.42,False
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,FMCG,23.17,1751.0,False
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,IT,26.92,1724.11,False
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,Automobile,26.66,1620.62,False
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,FMCG,25.23,1602.99,False
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,IT,24.25,1595.82,False
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,Utilities,21.33,1424.91,False
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,Utilities,19.94,1362.06,False
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,Consumer Goods,18.99,1240.2,False
