amfi_code,scheme_name,fund_house,category,plan,var_95_pct,cvar_95_pct,std_daily_pct,worst_day_return_pct
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,-2.686,-3.238,1.572,-4.543
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,-2.619,-3.167,1.579,-4.837
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,-2.602,-3.246,1.625,-5.185
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,-2.544,-3.23,1.59,-5.81
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,-2.451,-3.06,1.584,-4.518
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,-2.348,-3.104,1.565,-4.887
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,-1.922,-2.325,1.142,-3.669
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Regular,-1.903,-2.346,1.193,-4.424
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,-1.889,-2.434,1.215,-3.842
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,-1.848,-2.426,1.223,-4.075
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Direct,-1.837,-2.309,1.156,-4.522
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,-1.822,-2.272,1.127,-4.032
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,-1.788,-2.261,1.118,-3.009
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,-1.712,-2.133,1.113,-3.127
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,-1.523,-1.941,0.993,-3.127
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,-1.471,-1.876,0.972,-2.613
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,-1.459,-1.831,0.924,-3.151
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,-1.451,-1.838,1.001,-2.975
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,-1.447,-1.84,0.904,-3.668
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,-1.439,-1.94,0.959,-3.323
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,-1.436,-1.806,0.916,-2.474
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,-1.423,-1.749,0.881,-2.95
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,-1.395,-1.762,0.891,-2.849
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,-1.375,-1.733,0.879,-2.338
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,-1.373,-1.749,0.905,-2.632
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,-1.356,-1.762,0.894,-2.945
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,-1.355,-1.745,0.875,-2.59
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,-1.35,-1.734,0.878,-2.578
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,-1.344,-1.663,0.882,-2.54
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,-1.328,-1.744,0.918,-3.812
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,-1.314,-1.636,0.848,-2.378
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,-1.285,-1.64,0.866,-2.768
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,-1.261,-1.549,0.809,-2.11
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,-1.255,-1.618,0.818,-2.547
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,-0.394,-0.501,0.25,-0.769
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,-0.38,-0.492,0.251,-0.888
100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,-0.379,-0.499,0.246,-0.819
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,-0.028,-0.041,0.032,-0.07
101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,-0.027,-0.042,0.032,-0.077
120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,-0.022,-0.037,0.031,-0.067
